asset,asset_class,bh_sharpe,bh_cagr,bh_dd,bh_calmar,n_bars,start,end,ann,adjustment,cost_bps
fut_equity/DAX,fut_equity,0.34211356934666076,0.04515706603214768,-0.4689134987863275,0.09630148449346446,5704.0,2000-03-13,2024-03-28,254,back_adjusted,4.0
fut_equity/EUROSTX200-LARGE,fut_equity,0.4920562623263871,0.08131724849890498,-0.3703302970049954,0.21958032911848982,2172.0,2013-03-12,2024-03-28,250,back_adjusted,4.0
fut_equity/FTSE100,fut_equity,0.27762437804680223,0.038622503908735964,-0.7437510831297218,0.051929341394988726,9653.0,1984-05-21,2024-03-28,253,back_adjusted,4.0
fut_equity/HANG,fut_equity,0.38146287464705037,0.029008248172910447,-0.989368060208032,0.029319976396661677,7019.0,1993-12-09,2024-03-28,247,back_adjusted,4.0
fut_equity/IBEX,fut_equity,0.30112803932001486,0.02116853951320622,-0.9601134636001488,0.022047956117426264,6414.0,1997-05-09,2024-03-28,255,back_adjusted,4.0
fut_equity/KOSPI,fut_equity,0.43431530976198746,0.06547149668746334,-0.4101105575981018,0.15964352898133335,2094.0,2014-03-13,2024-03-29,247,back_adjusted,4.0
fut_equity/NIKKEI,fut_equity,0.7400147375376707,0.20440159233257676,-0.5035431340633112,0.4059266793753503,2870.0,2011-06-10,2024-03-29,300,back_adjusted,4.0
fut_equity/TOPIX,fut_equity,0.7507279055272972,0.22760979990197308,-0.5730170606386359,0.3972129549655967,3186.0,2010-03-11,2024-03-29,304,back_adjusted,4.0
fut_rates/BOBL,fut_rates,0.4584082089809683,0.015527311930897023,-0.1425396884657799,0.10893325289275295,3740.0,2008-03-05,2024-03-28,256,back_adjusted,4.0
fut_rates/BUND,fut_rates,0.6883308978753433,0.0597228237554324,-0.2477657993872879,0.241045470775724,3898.0,2006-12-01,2024-03-28,301,back_adjusted,4.0
fut_rates/GILT,fut_rates,0.46868550723684954,0.10233345001537739,-0.6432127018673488,0.15909737124016224,7268.0,1993-10-20,2024-03-28,253,back_adjusted,4.0
fut_rates/JGB,fut_rates,0.48549353340910933,0.017520760908757555,-0.0726610470814959,0.2411300361403607,5195.0,2001-12-04,2024-03-29,296,back_adjusted,4.0
fut_rates/OAT,fut_rates,0.3212533648408871,0.02011914515310604,-0.2390458866094812,0.08416436458483724,2383.0,2012-09-05,2024-03-28,250,back_adjusted,4.0
fut_rates/US10,fut_rates,0.4473684187698558,0.052027401516261104,-0.3442524010126651,0.151131557436391,7626.0,1992-07-02,2024-03-28,312,back_adjusted,4.0
fut_rates/US20,fut_rates,0.528956070569064,0.10484032912659881,-0.4944278506821662,0.2120437369819474,7351.0,1993-06-21,2024-03-28,312,back_adjusted,4.0
fx_futures/AUD,fx_futures,0.21340129839674413,0.02291330809248904,-0.6851695806988863,0.03344180585062901,8937.0,1987-06-16,2024-03-28,307,back_adjusted,3.0
fx_futures/CAD,fx_futures,0.012419171298812034,-0.0018875432379670497,-0.3531331398448929,-0.005345131977123749,13343.0,1972-09-14,2024-03-28,310,back_adjusted,3.0
fx_futures/CHF,fx_futures,-0.0015975741563150976,-0.0032248779259924946,-0.4072729910013569,-0.007918221922999432,13314.0,1972-09-14,2024-03-28,310,back_adjusted,3.0
fx_futures/CLP,fx_futures,-0.2260482812675085,-0.04323571624995831,-0.46649213026347,-0.09268262730507205,1938.0,2014-12-31,2024-03-28,252,back_adjusted,3.0
fx_futures/CNH,fx_futures,0.07409046483107337,0.0025660262007140013,-0.1783135520386249,0.014390528209309457,2427.0,2013-05-07,2024-03-29,328,back_adjusted,3.0
fx_futures/CZK,fx_futures,0.02280446735383229,-0.003789191773455896,-0.4924859729685935,-0.007694009538211839,4516.0,2004-09-13,2024-03-28,251,back_adjusted,3.0
fx_futures/EUR,fx_futures,0.011082114697011123,-0.002335067816077215,-0.4352754769214797,-0.005364574711610603,5755.0,1999-06-15,2024-03-28,252,back_adjusted,3.0
fx_futures/GBP,fx_futures,0.16360320131553005,0.013516719966121672,-0.8044380407863552,0.016802686199311002,11925.0,1975-12-16,2024-03-28,312,back_adjusted,3.0
fx_futures/INR,fx_futures,0.052074578092661916,0.0013079642837187098,-0.1456734222304914,0.00897874343646013,1775.0,2015-11-09,2024-03-28,260,back_adjusted,3.0
fx_futures/JPY,fx_futures,-0.21935965571933602,-0.02029366973668592,-0.650332963484073,-0.031205045532315116,11410.0,1977-06-14,2024-03-28,312,back_adjusted,3.0
fx_futures/NOK,fx_futures,-0.13145138526520678,-0.024062512590019514,-0.5412901777483171,-0.044453998205021605,5180.0,2002-06-14,2024-03-28,262,back_adjusted,3.0
fx_futures/NZD,fx_futures,0.2212310393149463,0.023493776291893316,-0.4161297307372666,0.056457817253933895,4829.0,2003-03-11,2024-03-28,312,back_adjusted,3.0
fx_futures/PLN,fx_futures,0.08318105615477507,0.0009313793273027687,-0.5624420657225488,0.0016559560247440945,4192.0,2004-09-08,2024-03-28,250,back_adjusted,3.0
fx_futures/SEK,fx_futures,-0.2132978618247546,-0.02848195844847746,-0.5165315888158469,-0.0551407872532493,5086.0,2002-06-14,2024-03-28,266,back_adjusted,3.0
fx_futures/SGD,fx_futures,-0.09769694855268696,-0.006488254216279785,-0.0988726513494804,-0.06562233466710693,504.0,2020-10-19,2024-03-29,268,back_adjusted,3.0
fx_futures/ZAR,fx_futures,0.33895817876924805,-0.06642270640083381,-0.9686791434249632,-0.06857038974327738,5930.0,1997-06-10,2024-03-28,296,back_adjusted,3.0
index/^DJI,index,0.8176059338814654,0.10996163097768281,-0.1877187296246914,0.58577868706831,2152.0,2008-12-31,2019-02-22,252,raw,6.0
index/^GSPC,index,0.8022682685058078,0.11208484789455236,-0.197782104239529,0.5667087440773164,2152.0,2008-12-31,2019-02-22,252,raw,6.0
index/^IXIC,index,0.9070808885736558,0.14873289877173043,-0.23635552443373,0.6292761682980359,2152.0,2008-12-31,2019-02-22,252,raw,6.0
index/^RUT,index,0.628316802756973,0.10787177449865022,-0.2956234262544526,0.3648958942983142,2152.0,2008-12-31,2019-02-22,252,raw,6.0
index_pkg/NDX,index_pkg,0.24853427425994928,0.03139850713645427,-0.7368863634914763,0.04260970034468207,4630.0,1999-01-04,2018-12-31,252,raw,6.0
index_pkg/SPX,index_pkg,0.25140284205402985,0.03014661550790576,-0.5677538775030553,0.0530980354383287,4630.0,1999-01-04,2018-12-31,252,raw,6.0
stock/AAPL,stock,1.0056737304367056,0.2539049033961259,-0.4011967614381418,0.6328687761236429,2152.0,2008-12-31,2019-02-22,252,raw,10.0
stock/AXP,stock,0.6513595648689077,0.12631137495068037,-0.4538264176956639,0.27832530241856657,2152.0,2008-12-31,2019-02-22,252,raw,10.0
stock/BA,stock,1.1174790072215643,0.2678878202388194,-0.295477344544414,0.9066272767946596,2152.0,2008-12-31,2019-02-22,252,raw,10.0
stock/CAT,stock,0.537651553087551,0.113780431787311,-0.4391111866244707,0.25911531123122217,2152.0,2008-12-31,2019-02-22,252,raw,10.0
stock/CSCO,stock,0.5744751082194818,0.11883627715160114,-0.4416465881731901,0.26907550139388814,2152.0,2008-12-31,2019-02-22,252,raw,10.0
stock/CVX,stock,0.5128564957534678,0.0901207955836875,-0.4541845710074051,0.19842328721954353,2152.0,2008-12-31,2019-02-22,252,raw,10.0
stock/DIS,stock,0.860972112639624,0.16750838553310277,-0.3419560384856536,0.4898535679466599,2152.0,2008-12-31,2019-02-22,252,raw,10.0
stock/GE,stock,0.03270321610100384,-0.021876310649817567,-0.7770200784930713,-0.02815411242942886,2152.0,2008-12-31,2019-02-22,252,raw,10.0
stock/GS,stock,0.2831426065482795,0.040520381440031214,-0.493882457973214,0.0820445852770678,2152.0,2008-12-31,2019-02-22,252,raw,10.0
stock/HD,stock,1.3513386788499855,0.2783841111003431,-0.2560862298333233,1.087071769854758,2152.0,2008-12-31,2019-02-22,252,raw,10.0
stock/IBM,stock,0.2927504745705126,0.038875885224426664,-0.4030732246257746,0.0964486918239737,2152.0,2008-12-31,2019-02-22,252,raw,10.0
stock/INTC,stock,0.7015483189407009,0.15050643773828057,-0.3189216269282514,0.47192295858988703,2152.0,2008-12-31,2019-02-22,252,raw,10.0
stock/JNJ,stock,0.9259563754912261,0.13532490138670789,-0.182828654202845,0.7401733714922357,2152.0,2008-12-31,2019-02-22,252,raw,10.0
stock/JPM,stock,0.6655041778785892,0.1447500772367649,-0.3966264403921007,0.3649531712854708,2152.0,2008-12-31,2019-02-22,252,raw,10.0
stock/KO,stock,0.7054913726113669,0.09673999547545713,-0.1384955327580388,0.6985062517826371,2152.0,2008-12-31,2019-02-22,252,raw,10.0
stock/MCD,stock,0.9928064332450428,0.1533234015719733,-0.1634446578941663,0.938075331108425,2152.0,2008-12-31,2019-02-22,252,raw,10.0
stock/MMM,stock,0.780412245108435,0.13565566398502552,-0.2910400840353519,0.4661064623955639,2152.0,2008-12-31,2019-02-22,252,raw,10.0
stock/MRK,stock,0.7914223798970872,0.14160320733803275,-0.2129695939169686,0.6648987056492216,2152.0,2008-12-31,2019-02-22,252,raw,10.0
stock/MSFT,stock,0.9701001421470062,0.21761600777079598,-0.1822796861060839,1.1938577052636952,2152.0,2008-12-31,2019-02-22,252,raw,10.0
stock/NKE,stock,0.9948031613655663,0.23277353545857052,-0.2494145061886016,0.9332798601639972,2152.0,2008-12-31,2019-02-22,252,raw,10.0
stock/PFE,stock,0.9201552323244016,0.16036404894945283,-0.2146515428809453,0.7470901294121954,2152.0,2008-12-31,2019-02-22,252,raw,10.0
stock/PG,stock,0.7076956149924046,0.09732503589534269,-0.2546467120684431,0.38219631859681735,2152.0,2008-12-31,2019-02-22,252,raw,10.0
stock/UNH,stock,1.2864772332819694,0.29791757967860716,-0.2123094267535867,1.4032235131244555,2152.0,2008-12-31,2019-02-22,252,raw,10.0
stock/VZ,stock,0.8210713467813392,0.13203847421241294,-0.2011008061154214,0.656578542686844,2152.0,2008-12-31,2019-02-22,252,raw,10.0
stock/WMT,stock,0.6680099546389922,0.10774592532716583,-0.3643515871012301,0.2957196541516096,2152.0,2008-12-31,2019-02-22,252,raw,10.0
stock/XOM,stock,0.40760926134083886,0.060003060535038275,-0.3154259826388246,0.19022865533478955,2152.0,2008-12-31,2019-02-22,252,raw,10.0
